Location Code,Description,City,State,Country,
BWN,SpaceX Launch City,Brownsville,TX,USA,
ISS,International Space Station,Near Orbit,Earth,All,
BOM,Mumbai,Mumbai,Maharashtra,India,
HYD,Hyderabad,Hyderabad,Telangana,India,
DEL,Delhi,Delhi,NCR,India,
CCU,Kolkata,Kolkata,West Bengal,India,
PNY,Pondicherry,Pondicherry,Puducherry,India,
SHL,Shimla,Shimla,Himachal Pradesh,India,
SIN,Singapore,Singapore,Singapore,Singapore,
KUL,Kuala Lumpur,Kuala Lumpur,Selangor,Malaysia,
SYD,Sydney,Sydney,New South Wales,Austrailia,
MEL,Melbourne,Melbourne,Victoria,Austrailia,
NSP,McMurdo Station,South Pole Station,Antarctica,Antarctica,
CLT,Charlotte,Charlotte,NC,USA,
ATL,Atlanta,Atlanta,GA,USA,
STL,St Louis,St Louis,MO,USA,
LAX,Los Angeles,Los Angeles,CA,USA,
SAN,San Diego,San Diego,CA,USA,
ORD,Chicago,Chicago,IL,USA,
MSY,New Orleans,New Orleans,LA,USA,
SEA,Seattle,Seattle,WA,USA,
ANC,Anchorage,Anchorage,AK,USA,
ZAL,Valdivia,Valdivia,Chile,Chile,
SCL,Santiago,Santiago,Chile,Chile,
MEX,Mexico City,Mexico City,Venustiano Carranza,Mexico,
ABZ,Aberdeen,Aberdeen,Scotland,Scotland,
EDI,Edinburgh,Edinburgh,Scotland,Scotland,
DFW,Dallas,Dallas,TX,USA,
SAT,San Antonio,San Antonio,TX,USA,
IAH,Houston,Houston,TX,USA,
CHS,Charleston,Charleston,SC,USA,
